,ret,ret_hedged,pair
0,0.03517479499352616,0.03517479499352616,JPYUSD
1,-0.06728934817170118,-0.06728934817170118,JPYUSD
2,0.27240948813982535,0.27240948813982535,JPYUSD
3,0.2147820593809222,0.2147820593809222,JPYUSD
4,0.2672164948453608,0.06627342123525337,JPYUSD
5,0.021591363454618318,0.07915824159364915,JPYUSD
6,-0.09248956884561899,-0.07141863699582751,JPYUSD
7,0.06482504604051575,0.06482504604051575,JPYUSD
8,0.052441953562850196,-0.010538200978547185,JPYUSD
9,0.005526189332051956,0.07614418793033617,JPYUSD
10,0.11515422440768908,0.13173817381738173,JPYUSD
11,0.08947579835308273,0.0954006828680456,JPYUSD
12,-0.038350077279752814,0.0,JPYUSD
13,-0.07476231633535013,0.0,JPYUSD
14,-0.07113867830614895,-0.1802588253311892,JPYUSD
15,0.11839788732394374,0.11839788732394374,JPYUSD
16,0.13481611550092665,0.13481611550092665,JPYUSD
17,-0.06197010750808496,0.0,JPYUSD
18,-0.11461339814674165,-0.11461339814674165,JPYUSD
19,0.13376546847377724,0.13376546847377724,JPYUSD
20,0.11798171982839012,0.11798171982839012,JPYUSD
21,0.030010718113612223,0.030010718113612223,JPYUSD
22,-0.11932059447983012,-0.11932059447983012,JPYUSD
23,-0.015622375272971722,-0.015622375272971722,JPYUSD
24,0.08008948545861294,0.08008948545861294,JPYUSD
25,0.1744263018534864,0.1744263018534864,JPYUSD
26,-0.03343007631946693,-0.09135004042037187,JPYUSD
27,0.1127958579881656,0.054448588172616,JPYUSD
28,0.06670133922766874,0.15125122669283608,JPYUSD
29,-0.12080691642651309,0.02168191502694561,JPYUSD
30,-0.1291425315734499,-0.24233216218782638,JPYUSD
31,-0.14810485890799796,-0.14810485890799796,JPYUSD
32,-0.02270836799201481,-0.02270836799201481,JPYUSD
33,0.03573871409028717,0.03573871409028717,JPYUSD
34,0.0009761292040109115,0.0009761292040109115,JPYUSD
